official_name	occurrences	name_type	capitalized_case
CARBON DIOXIDE OXYGEN MIX	3	generic	Carbon Dioxide Oxygen Mix
CARBON DIOXIDE OXYGEN MIXTURE	6	generic	Carbon Dioxide Oxygen Mixture
CARBON DIOXIDE OXYGEN MIXTURE 5/95	1	generic	Carbon Dioxide Oxygen Mixture 5/95
Carbon Dioxide Refrigerated	1	brand	Carbon Dioxide Refrigerated
CARBON DIOXIDE-AIR MIXTURE	4	generic	Carbon Dioxide-Air Mixture
CARBON DIOXIDE-OXYGEN MIXTURE	6	generic	Carbon Dioxide-Oxygen Mixture
CARBON DIOXIDE-OXYGEN-NITROGEN MIXTURE	7	generic	Carbon Dioxide-Oxygen-Nitrogen Mixture
CARBOPLATIN	8	generic	Carboplatin
CARBOPROST TROMETHAMINE	1	generic	Carboprost Tromethamine
CARBOXYMETHYLCELLULOSE SODIUM	34	generic	Carboxymethylcellulose Sodium
CARBOXYMETHYLCELLULOSE SODIUM AND GLYCERIN	1	generic	Carboxymethylcellulose Sodium And Glycerin
CARBOXYMETHYLCELLULOSE SODIUM GLYCERIN	1	generic	Carboxymethylcellulose Sodium Glycerin
CARBOXYMETHYLCELLULOSE SODIUM, GLYCERIN	4	generic	Carboxymethylcellulose Sodium, Glycerin
CARBOXYMETHYLCELLULOSE SODIUM, GLYCERIN, AND POLYSORBATE 80	1	generic	Carboxymethylcellulose Sodium, Glycerin, And Polysorbate 80
CARBOXYMETHYLCELLULOSE SODIUM, GLYCERIN, POLYSORBATE 80	1	generic	Carboxymethylcellulose Sodium, Glycerin, Polysorbate 80
Cardene I.V.	3	brand	Cardene I.V.
Cardene IV	2	brand	Cardene Iv
CardioGen-82	1	brand	Cardiogen-82
Cardiolite	1	brand	Cardiolite
Cardioplegic	1	brand	Cardioplegic
CARDIOSPERMUM 6X, GALPHIMIA GLAUCA 6X, LUFFA OPERCULATA 6X, SABADILLA 6X	1	generic	Cardiospermum 6X, Galphimia Glauca 6X, Luffa Operculata 6X, Sabadilla 6X
CARDIOSPERMUM HALICACABUM FLOWERING TOP, GALPHIMIA GLAUCA FLOWERING TOP, LUFFA OPERCULATA FRUIT	1	generic	Cardiospermum Halicacabum Flowering Top, Galphimia Glauca Flowering Top, Luffa Operculata Fruit
care one all day pain relief	3	brand	Care One All Day Pain Relief
care one allergy eye	1	brand	Care One Allergy Eye
care one calcium antacid	6	brand	Care One Calcium Antacid
care one enema	1	brand	Care One Enema
CARE ONE EYE DROPS SEASONAL RELIEF	1	brand	Care One Eye Drops Seasonal Relief
care one eye itch relief	1	brand	Care One Eye Itch Relief
Care One Hemorrhoidal	1	brand	Care One Hemorrhoidal
care one ibuprofen	4	brand	Care One Ibuprofen
Care One Maximum Strength	3	brand	Care One Maximum Strength
care one miconazole 7	1	brand	Care One Miconazole 7
care one nasal	1	brand	Care One Nasal
care one nasal extra moisturizing	1	brand	Care One Nasal Extra Moisturizing
Care One Nasal Four	1	brand	Care One Nasal Four
care one nasal original	1	brand	Care One Nasal Original
care one nasal sinus	1	brand	Care One Nasal Sinus
Care One Nicotine	4	brand	Care One Nicotine
care one nose drops	1	brand	Care One Nose Drops
care one pain relief	3	brand	Care One Pain Relief
CAREALL Artifical Tears	1	brand	Careall Artifical Tears
CAREALL Eyedrops Original	1	brand	Careall Eyedrops Original
CAREALL Lubricating Eye Drops	1	brand	Careall Lubricating Eye Drops
CareOne Hemorrhoidal	2	brand	Careone Hemorrhoidal
CareOne Lubricant	1	brand	Careone Lubricant
CareOne Lubricant Eye Plus	1	brand	Careone Lubricant Eye Plus
CARISOPRODOL	4	brand	Carisoprodol
CARISOPRODOL AND ASPIRIN	5	generic	Carisoprodol And Aspirin
Carisoprodol, Aspirin and Codeine Phosphate	3	brand	Carisoprodol, Aspirin And Codeine Phosphate
CARMUSTINE	1	generic	Carmustine
Carnitor	1	brand	Carnitor
CAROB	1	generic	Carob
CARP	4	generic	Carp
Carpal Tunnel Relief	1	brand	Carpal Tunnel Relief
CARROT SUN SPF30 PA Plus Plus	1	brand	Carrot Sun Spf30 Pa Plus Plus
CARTEOLOL HYDROCHLORIDE	1	brand	Carteolol Hydrochloride
CARTILAGO BETULA ADULT SIZE SPECIAL ORDER	1	generic	Cartilago Betula Adult Size Special Order
CARVEDILOL	100	generic	Carvedilol
CARVEDILOL PHOSPHATE	5	generic	Carvedilol Phosphate
CASEIN	1	generic	Casein
CASPOFUNGIN ACETATE	1	generic	Caspofungin Acetate
CASTOR OIL	10	generic	Castor Oil
CAT HAIR	1	generic	Cat Hair
CAT HAIR, STANDARDIZED	1	generic	Cat Hair, Standardized
CAT PELT, STANDARDIZED	1	generic	Cat Pelt, Standardized
Catapres	2	brand	Catapres
Cataract Crystalline Lens	1	brand	Cataract Crystalline Lens
Cathflo Activase	1	brand	Cathflo Activase
CATTLE EPITHELIUM	8	generic	Cattle Epithelium
CATTLE HAIR	1	generic	Cattle Hair
CAUSTICUM 12X, GRAPHITES 15X, LACHESIS 12X, LYCOPODIUM 12X	1	generic	Causticum 12X, Graphites 15X, Lachesis 12X, Lycopodium 12X
Caverject	1	brand	Caverject
Caverject Impulse	2	brand	Caverject Impulse
Cavity Protection Spearmint	1	brand	Cavity Protection Spearmint
Cavity Protection Wintermint	1	brand	Cavity Protection Wintermint
CEDERROTH Emergency Eye Wash	2	brand	Cederroth Emergency Eye Wash
CEFACLOR	12	generic	Cefaclor
CEFADROXIL	24	generic	Cefadroxil
CEFAZOLIN	2	brand	Cefazolin
CEFAZOLIN SODIUM	13	generic	Cefazolin Sodium
CEFDINIR	33	generic	Cefdinir
CEFEPIME	4	generic	Cefepime
CEFEPIME HYDROCHLORIDE	7	generic	Cefepime Hydrochloride
CEFEPIME HYDROCHLORIDE AND DEXTROSE	1	brand	Cefepime Hydrochloride And Dextrose
CEFIXIME	7	generic	Cefixime
CEFOTAXIME	2	brand	Cefotaxime
CEFOTAXIME SODIUM	2	generic	Cefotaxime Sodium
Cefotetan	2	brand	Cefotetan
CEFOTETAN AND DEXTROSE	1	generic	Cefotetan And Dextrose
CEFOTETAN DISODIUM	2	generic	Cefotetan Disodium
CEFOXITIN	7	generic	Cefoxitin
Cefoxitin and Dextrose	1	brand	Cefoxitin And Dextrose
CEFOXITIN SODIUM	4	generic	Cefoxitin Sodium
CEFPODOXIME PROXETIL	9	generic	Cefpodoxime Proxetil
CEFPROZIL	21	generic	Cefprozil
CEFTAROLINE FOSAMIL	1	generic	Ceftaroline Fosamil
CEFTAZIDIME	12	generic	Ceftazidime
Ceftazidime and Dextrose	1	brand	Ceftazidime And Dextrose
CEFTRIAXONE	17	generic	Ceftriaxone
CEFTRIAXONE AND DEXTROSE	1	brand	Ceftriaxone And Dextrose
CEFTRIAXONE SODIUM	34	generic	Ceftriaxone Sodium
CEFUROXIME	8	generic	Cefuroxime
CEFUROXIME AND DEXTROSE	1	generic	Cefuroxime And Dextrose
CEFUROXIME AXETIL	31	generic	Cefuroxime Axetil
CEFUROXIME SODIUM	3	generic	Cefuroxime Sodium
CELEBREX	29	brand	Celebrex
CELECOXIB	32	generic	Celecoxib
CELESTONE SOLUSPAN	1	brand	Celestone Soluspan
Celexa	1	brand	Celexa
CENTER-AL - ACACIA LONGIFOLIA POLLEN	1	brand	Center-Al - Acacia Longifolia Pollen
CENTRUROIDES (SCORPION) IMMUNE F(AB)2 (EQUINE)	1	generic	Centruroides (Scorpion) Immune F(Ab)2 (Equine)
Cepacol Sore Throat	5	brand	Cepacol Sore Throat
CEPHALEXIN	88	generic	Cephalexin
CEREBYX	1	brand	Cerebyx
CERETEC	1	brand	Ceretec
Cerezyme	1	brand	Cerezyme
Cervidil	1	brand	Cervidil
CETIRIZINE	10	generic	Cetirizine
CETIRIZINE HCL	35	generic	Cetirizine Hcl
CETIRIZINE HCL, PSEUDOEPHEDRINE HCL	27	generic	Cetirizine Hcl, Pseudoephedrine Hcl
CETIRIZINE HYDROCHLORIDE	236	generic	Cetirizine Hydrochloride
CETRORELIX ACETATE	1	generic	Cetrorelix Acetate
Cetrotide	1	brand	Cetrotide
CETYLPYRIDINIUM CHLORIDE	2	generic	Cetylpyridinium Chloride
CETYLPYRIDINIUM CHLORIDE, SODIUM FLUORIDE	1	generic	Cetylpyridinium Chloride, Sodium Fluoride
CEVIMELINE HYDROCHLORIDE	5	generic	Cevimeline Hydrochloride
CHAMOMILE (MATRICARIA CHAMOMILLA L.)	1	generic	Chamomile (Matricaria Chamomilla L.)
CHAMOMILE AND MERCURIUS SOLUBILIS AND SULPHUR	1	generic	Chamomile And Mercurius Solubilis And Sulphur
CHAMOMILE PLANT	1	generic	Chamomile Plant
CHAMOMILLA	2	brand	Chamomilla
CHAMOMILLA 10X, MERCURIUS SOLUBILIS 15X, PULSATILLA 12X, SULPHUR 12X	1	generic	Chamomilla 10X, Mercurius Solubilis 15X, Pulsatilla 12X, Sulphur 12X
Chamomilla 30c	1	brand	Chamomilla 30C
CHAMOMILLA AND MERCURIUS SOLUBILIS AND SULPHUR	4	generic	Chamomilla And Mercurius Solubilis And Sulphur
CHAMOMILLA BELLADONNA ADULT SIZE	1	generic	Chamomilla Belladonna Adult Size
CHAMOMILLA PLANT	1	generic	Chamomilla Plant
CHAMOMILLA, NATRUM SULPHURICUM, SANGUINARIA CANADENSIS, GLUTATHIONE	1	generic	Chamomilla, Natrum Sulphuricum, Sanguinaria Canadensis, Glutathione
Charm Tex	2	brand	Charm Tex
Charm Tex Fluoride	1	brand	Charm Tex Fluoride
CHASTE TREE,BARIUM CARBONATE,CONIUM MACULATUM FLOWERING TOP,PHOSPHORIC ACID,SEPIA OFFICINALIS JUICE.	1	generic	Chaste Tree,Barium Carbonate,Conium Maculatum Flowering Top,Phosphoric Acid,Sepia Officinalis Juice.
Cheratussin AC	4	brand	Cheratussin Ac
Chest Rub	4	brand	Chest Rub
CHESTNUT	4	generic	Chestnut
Childrens Acetaminophen	9	brand	Childrens Acetaminophen
CHILDRENS ADVIL	1	brand	Childrens Advil
CHILDRENS ADVIL COLD	1	brand	Childrens Advil Cold
Childrens Allergy	17	brand	Childrens Allergy
Childrens Allergy Relief	16	brand	Childrens Allergy Relief
CHILDRENS ALPHA CF	1	brand	Childrens Alpha Cf
Childrens Earache Relief	1	brand	Childrens Earache Relief
childrens fever reducer	1	brand	Childrens Fever Reducer
Childrens Ibuprofen	27	brand	Childrens Ibuprofen
Childrens Loratadine	7	brand	Childrens Loratadine
Childrens Outrageous Orange Mango	1	brand	Childrens Outrageous Orange Mango
Childrens Pain and Fever	8	brand	Childrens Pain And Fever
Childrens Pain Relief	6	brand	Childrens Pain Relief
Childrens Plus Cough and Runny Nose	4	brand	Childrens Plus Cough And Runny Nose
Childrens Plus Multi-Symptom Cold Grape with PE	4	brand	Childrens Plus Multi-Symptom Cold Grape With Pe
Childrens Robitussin Cough and Chest Congestion DM	1	brand	Childrens Robitussin Cough And Chest Congestion Dm
Childrens Robitussin Cough and Cold CF	1	brand	Childrens Robitussin Cough And Cold Cf
CHILDRENS ROBITUSSIN COUGH AND COLD LONG-ACTING	1	brand	Childrens Robitussin Cough And Cold Long-Acting
Childrens Robitussin Cough Long-Acting	1	brand	Childrens Robitussin Cough Long-Acting
Childrens Robitussin Nighttime Cough Long-Acting DM	1	brand	Childrens Robitussin Nighttime Cough Long-Acting Dm
Childrens Silly Strawberry	1	brand	Childrens Silly Strawberry
Childrens TYLENOL	3	brand	Childrens Tylenol
Childrens Zyrtec	1	brand	Childrens Zyrtec
Childrens Zyrtec Allergy	1	brand	Childrens Zyrtec Allergy
CHLORAL HYDRATE	1	generic	Chloral Hydrate
CHLORALUM	1	brand	Chloralum
CHLORAMPHENICOL SODIUM SUCCINATE	2	generic	Chloramphenicol Sodium Succinate
ChloraPrep One-Step	10	brand	Chloraprep One-Step
CHLORDIAZEPOXIDE HYDROCHLORIDE	21	generic	Chlordiazepoxide Hydrochloride
CHLORDIAZEPOXIDE HYDROCHLORIDE AND CLIDINIUM BROMIDE	9	generic	Chlordiazepoxide Hydrochloride And Clidinium Bromide
CHLORHEXIDINE DIACETATE	2	generic	Chlorhexidine Diacetate
CHLORHEXIDINE GLUCONANTE	1	generic	Chlorhexidine Gluconante
CHLORHEXIDINE GLUCONATE	1	generic	Chlorhexidine Gluconate
Chlorhexidine Gluconate 0.12% Oral Rinse	1	brand	Chlorhexidine Gluconate 0.12% Oral Rinse
CHLORHEXIDINE GLUCONATE 4%	2	generic	Chlorhexidine Gluconate 4%
CHLORHEXIDINE GLUCONATE AND ISOPROPYL ALCOHOL	20	generic	Chlorhexidine Gluconate And Isopropyl Alcohol
CHLORHEXIDINE GLUCONATE AND PROPYLENE GLYCOL	1	generic	Chlorhexidine Gluconate And Propylene Glycol
CHLORHEXIDINE GLUCONATE, ETHYL ALCOHOL	4	generic	Chlorhexidine Gluconate, Ethyl Alcohol
Chloromag	1	brand	Chloromag
CHLOROPROCAINE HYDROCHLORIDE	1	generic	Chloroprocaine Hydrochloride
CHLOROQUINE PHOSPHATE	13	generic	Chloroquine Phosphate
CHLOROTHIAZIDE	4	generic	Chlorothiazide
CHLOROTHIAZIDE SODIUM	1	brand	Chlorothiazide Sodium
CHLOROXYLENOL	1	generic	Chloroxylenol
CHLOROXYLENOL / PRAMOXINE HCL	1	generic	Chloroxylenol / Pramoxine Hcl
CHLORPHENIRAMINE MALEATE	56	generic	Chlorpheniramine Maleate
CHLORPHENIRAMINE MALEATE AND CODEINE PHOSPHATE	6	generic	Chlorpheniramine Maleate And Codeine Phosphate
CHLORPHENIRAMINE MALEATE AND DEXTROMETHORPHAN HBR	6	generic	Chlorpheniramine Maleate And Dextromethorphan Hbr
CHLORPHENIRAMINE MALEATE AND DEXTROMETHORPHAN HYDROBROMIDE	5	generic	Chlorpheniramine Maleate And Dextromethorphan Hydrobromide
CHLORPHENIRAMINE MALEATE AND PHENYLEPHRINE HCL	11	generic	Chlorpheniramine Maleate And Phenylephrine Hcl
CHLORPHENIRAMINE MALEATE AND PHENYLEPHRINE HYDROCHLORIDE	10	generic	Chlorpheniramine Maleate And Phenylephrine Hydrochloride
CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE	7	generic	Chlorpheniramine Maleate, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride
CHLORPHENIRAMINE MALEATE, PHENYLEPHRINE HCL	37	generic	Chlorpheniramine Maleate, Phenylephrine Hcl
CHLORPROMAZINE HYDROCHLORIDE	1	generic	Chlorpromazine Hydrochloride
CHLORTHALIDONE	10	generic	Chlorthalidone
CHLORZOXAZONE	1	generic	Chlorzoxazone
Cholestop	1	brand	Cholestop
CHOLESTYRAMINE	7	generic	Cholestyramine
CHOLINE C 11	2	generic	Choline C 11
CHOLINE C-11	1	generic	Choline C-11
Cholografin Meglumine	1	brand	Cholografin Meglumine
CHORIOGONADOTROPIN ALFA	1	generic	Choriogonadotropin Alfa
Chorionic Gonadotropin	1	brand	Chorionic Gonadotropin
CHROMIC CHLORIDE	2	generic	Chromic Chloride
CHROMIUM	1	brand	Chromium
CHROMIUM, COPPER, IRON, MANGANESE, IODINE, FLUORINE, MOLYBDENUM, SELENIUM, AND ZINC	1	generic	Chromium, Copper, Iron, Manganese, Iodine, Fluorine, Molybdenum, Selenium, And Zinc
Cialis	6	brand	Cialis
CICLESONIDE	2	generic	Ciclesonide
CICLOPIROX	22	generic	Ciclopirox
CICLOPIROX OLAMINE	10	generic	Ciclopirox Olamine
CIDOFOVIR	1	generic	Cidofovir
CIDOFOVIR ANHYDROUS	1	generic	Cidofovir Anhydrous
CIDOFOVIR DIHYDRATE	1	brand	Cidofovir Dihydrate
CILOSTAZOL	22	generic	Cilostazol
CILOXAN	1	brand	Ciloxan
CIMETIDINE	40	generic	Cimetidine
CINACALCET HYDROCHLORIDE	6	generic	Cinacalcet Hydrochloride
CINERARIA MARITIMA, EUPHRASIA STRICTICA, CAUSTICUM, CALCAREA PHOSPHORICA, SEPIA, CALCAREA FLOURICA, SILICEA	1	generic	Cineraria Maritima, Euphrasia Strictica, Causticum, Calcarea Phosphorica, Sepia, Calcarea Flourica, Silicea
Cipro	1	brand	Cipro
CIPRO HC	1	brand	Cipro Hc
CIPRODEX	3	brand	Ciprodex
CIPROFLOXACIN	11	generic	Ciprofloxacin
CIPROFLOXACIN AND DEXAMETHASONE	4	generic	Ciprofloxacin And Dexamethasone
Ciprofloxacin and Dextrose	1	brand	Ciprofloxacin And Dextrose
CIPROFLOXACIN HYDROCHLORIDE	1	brand	Ciprofloxacin Hydrochloride
CIPROFLOXACIN HYDROCHLORIDE AND HYDROCORTISONE	1	generic	Ciprofloxacin Hydrochloride And Hydrocortisone
CIPROFLOXACIN HYDROCHLORIDE, HYDROCORTISONE AND BENZYL ALCOHOL	1	generic	Ciprofloxacin Hydrochloride, Hydrocortisone And Benzyl Alcohol
Ciprofloxacin Otic	1	brand	Ciprofloxacin Otic
CISATRACURIUM BESYLATE	5	generic	Cisatracurium Besylate
CISPLATIN	7	generic	Cisplatin
CITALOPRAM	53	generic	Citalopram
CITALOPRAM HYDROBROMIDE	64	generic	Citalopram Hydrobromide
Citanest Forte	1	brand	Citanest Forte
Citanest Plain	1	brand	Citanest Plain
CITRIC ACID MONOHYDRATE	3	generic	Citric Acid Monohydrate
CITRIC ACID MONOHYDRATE, SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE, SODIUM CHLORIDE, ADENINE, ANHYDROUS DEXTROSE, TRISODIUM CITRATE DIHYDRATE	2	generic	Citric Acid Monohydrate, Sodium Phosphate, Monobasic, Monohydrate, Sodium Chloride, Adenine, Anhydrous Dextrose, Trisodium Citrate Dihydrate
CITRIC ACID MONOHYDRATE, TRISODIUM CITRATE DIHYDRATE, SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE, ANHYDROUS DEXTROSE	1	generic	Citric Acid Monohydrate, Trisodium Citrate Dihydrate, Sodium Phosphate, Monobasic, Monohydrate, Anhydrous Dextrose
CITRIC ACID, GLUCONOLACTONE AND MAGNESIUM CARBONATE	1	generic	Citric Acid, Gluconolactone And Magnesium Carbonate
citroma	29	brand	Citroma
CITRULLUS COLOCYNTHIS FRUIT PULP,GRATIOLA OFFICINALIS,LYCOPODIUM CLAVATUM SPORE,SODIUM CARBONATE,STRYCHNOS NUX-VOMICA SEED,SULFUR,TAXUS BACCATA FRUIT,PODOPHYLLUM.	1	generic	Citrullus Colocynthis Fruit Pulp,Gratiola Officinalis,Lycopodium Clavatum Spore,Sodium Carbonate,Strychnos Nux-Vomica Seed,Sulfur,Taxus Baccata Fruit,Podophyllum.
Citrus Burst Antibacterial Foaming Hand Wash	4	brand	Citrus Burst Antibacterial Foaming Hand Wash
ck one 3-in-1 face makeup with SPF 8 sunscreen	7	brand	Ck One 3-In-1 Face Makeup With Spf 8 Sunscreen
CLADRIBINE	5	generic	Cladribine
Claforan	2	brand	Claforan
CLARITHROMYCIN	44	generic	Clarithromycin
Clean and Gentle Peppermint	1	brand	Clean And Gentle Peppermint
Cleanoz	1	brand	Cleanoz
CLEAR ACTION	2	brand	Clear Action
Clear Eyes Complete 7 Symptom Relief	1	brand	Clear Eyes Complete 7 Symptom Relief
Clear Eyes Complete 7 Sympton Relief	1	brand	Clear Eyes Complete 7 Sympton Relief
Clear Eyes Cooling Itchy Eye Relief	1	brand	Clear Eyes Cooling Itchy Eye Relief
Clear Eyes Cooling Redness Relief	1	brand	Clear Eyes Cooling Redness Relief
Clear Eyes Maximum Itchy Eye Relief	1	brand	Clear Eyes Maximum Itchy Eye Relief
Clear Eyes Maximum Redness Relief	2	brand	Clear Eyes Maximum Redness Relief
Clear Eyes Natural Tears	1	brand	Clear Eyes Natural Tears
Clear Eyes Outdoor Dry Eye Protection	1	brand	Clear Eyes Outdoor Dry Eye Protection
Clear Eyes Redness Relief	1	brand	Clear Eyes Redness Relief
Clear Eyes Travelers Eye Relief	1	brand	Clear Eyes Travelers Eye Relief
Clear Eyes Triple Action	1	brand	Clear Eyes Triple Action
clear lax	3	brand	Clear Lax
ClearCanal NeilMed	1	brand	Clearcanal Neilmed
clearlax	4	brand	Clearlax
Clearlife	1	brand	Clearlife
CLEMASTINE FUMARATE	22	generic	Clemastine Fumarate
Clenz-Lyte	1	brand	Clenz-Lyte
Cleocin	2	brand	Cleocin
CLEOCIN PHOSPHATE	1	brand	Cleocin Phosphate
CLEVIDIPINE	1	generic	Clevidipine
Cleviprex	1	brand	Cleviprex
Climara	1	brand	Climara
Climara Pro	2	brand	Climara Pro
Clindamax	1	brand	Clindamax
CLINDAMYCIN	1	brand	Clindamycin
CLINDAMYCIN HYDROCHLORIDE	57	generic	Clindamycin Hydrochloride
CLINDAMYCIN IN 5 PERCENT DEXTROSE	2	generic	Clindamycin In 5 Percent Dextrose
CLINDAMYCIN PALMITATE HYDROCHLORIDE	7	generic	Clindamycin Palmitate Hydrochloride
CLINDAMYCIN PHOSPHATE	7	generic	Clindamycin Phosphate
CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE	7	generic	Clindamycin Phosphate And Benzoyl Peroxide
CLINDAMYCIN PHOSPHATE AND TRETINOIN	2	generic	Clindamycin Phosphate And Tretinoin
Clindesse	1	brand	Clindesse
CLINIMIX	1	brand	Clinimix
CLINIMIX E	1	brand	Clinimix E
Clinisol	1	brand	Clinisol
Clinolipid	1	brand	Clinolipid
CLOBETASOL PROPIONATE	59	generic	Clobetasol Propionate
Clobex	4	brand	Clobex
CLOCORTOLONE PIVALATE	3	generic	Clocortolone Pivalate
CLOFARABINE	2	generic	Clofarabine
Clolar	2	brand	Clolar
CLOMIPHENE CITRATE	7	generic	Clomiphene Citrate
CLOMIPRAMINE HYDROCHLORIDE	13	generic	Clomipramine Hydrochloride
CLONAZEPAM	4	brand	Clonazepam
CLONIDINE	1	generic	Clonidine
CLONIDINE HYDROCHLORIDE	14	brand	Clonidine Hydrochloride
Clonidine transdermal system	1	brand	Clonidine Transdermal System
CLOPIDOGREL	17	generic	Clopidogrel
CLOPIDOGREL BISULFATE	42	generic	Clopidogrel Bisulfate
CLORAZEPATE DIPOTASSIUM	17	generic	Clorazepate Dipotassium
Close Up Anticavity Toothpaste	2	brand	Close Up Anticavity Toothpaste
CLOSE UP Freshening with Mouthwash	2	brand	Close Up Freshening With Mouthwash
CLOSE UP Whitening with Mouthwash	1	brand	Close Up Whitening With Mouthwash
CloSYS	1	brand	Closys
CLOTRIMAZOLE	15	generic	Clotrimazole
Clotrimazole 7	1	brand	Clotrimazole 7
CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE	10	generic	Clotrimazole And Betamethasone Dipropionate
CLOVE	1	generic	Clove
CLOZAPINE	9	generic	Clozapine
CLUBMOSS	1	generic	Clubmoss
CMC Lubricant Eye Drops	1	brand	Cmc Lubricant Eye Drops
COAL TAR	43	generic	Coal Tar
COCA-GLYCERINE CONTROL	1	generic	Coca-Glycerine Control
COCCIDIOIDES IMMITIS SPHERULE-DERIVED SKIN TEST ANTIGEN	1	generic	Coccidioides Immitis Spherule-Derived Skin Test Antigen
COCCULUSM, KALI PHOS, MENTHA PIP, PULSATILLA, ZINGIBER	1	generic	Cocculusm, Kali Phos, Mentha Pip, Pulsatilla, Zingiber
COCHLEARIA OFFICINALIS FLOWERING TOP,ECHINACEA ANGUSTIFOLIA,EUPHRASIA STRICTA AND PILOCARPUS JABORANDI LEAF	1	generic	Cochlearia Officinalis Flowering Top,Echinacea Angustifolia,Euphrasia Stricta And Pilocarpus Jaborandi Leaf
COCOA BUTTER, PHENYLEPHRINE HCL	27	generic	Cocoa Butter, Phenylephrine Hcl
COCOA BUTTER, PHENYLEPHRINE HCL, SHARK LIVER OIL	13	generic	Cocoa Butter, Phenylephrine Hcl, Shark Liver Oil
COCOA BUTTER, PHENYLEPHRINE HYDROCHLORIDE	2	brand	Cocoa Butter, Phenylephrine Hydrochloride
COCOA BUTTER, PHENYLEPHRINE HYDROCHLORIDE, SHARK LIVER OIL	1	generic	Cocoa Butter, Phenylephrine Hydrochloride, Shark Liver Oil
CODEINE BASE	1	generic	Codeine Base
CODEINE PHOSPHATE AND GUAIFENESIN	12	generic	Codeine Phosphate And Guaifenesin
CODEINE PHOSPHATE, GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE	6	generic	Codeine Phosphate, Guaifenesin And Pseudoephedrine Hydrochloride
CODEINE PHOSPHATE, PROMETHAZINE HYDROCHLORIDE, AND PHENYLEPHRINE HYDROCHLORIDE	4	generic	Codeine Phosphate, Promethazine Hydrochloride, And Phenylephrine Hydrochloride
CODEINE SULFATE	6	generic	Codeine Sulfate
Codeine-Guaifenesin	1	brand	Codeine-Guaifenesin
CODEINUM	1	brand	Codeinum
COFFEA CRUDA	3	generic	Coffea Cruda
Coffea Cruda 30c	1	brand	Coffea Cruda 30C
COFFEE	1	generic	Coffee
Cogentin	1	brand	Cogentin
COLCHICINE	10	generic	Colchicine
cold and cough	6	brand	Cold And Cough
Cold and Flu Relief	1	brand	Cold And Flu Relief
Cold and Infection Defense	1	brand	Cold And Infection Defense
cold hot patch	2	brand	Cold Hot Patch
cold relief	3	brand	Cold Relief
Cold Sore Treatment	7	brand	Cold Sore Treatment
Cold Spot Point Relief	18	brand	Cold Spot Point Relief
COLESEVELAM HYDROCHLORIDE	4	generic	Colesevelam Hydrochloride
COLESTIPOL HYDROCHLORIDE	7	generic	Colestipol Hydrochloride
COLGATE 2IN1 ICY BLAST	1	brand	Colgate 2In1 Icy Blast
COLGATE 2IN1 OXYGEN WHITENING COOL MINT FLUORIDE	1	brand	Colgate 2In1 Oxygen Whitening Cool Mint Fluoride
COLGATE 2IN1 WHITENING STAIN LIFTERS	1	brand	Colgate 2In1 Whitening Stain Lifters
Colgate Advanced Sensitive Plus Whitening	1	brand	Colgate Advanced Sensitive Plus Whitening
Colgate Anticavity	1	brand	Colgate Anticavity
Colgate Anticavity Kit	2	brand	Colgate Anticavity Kit
Colgate Anticavity Toothpaste	1	brand	Colgate Anticavity Toothpaste
COLGATE Baking Soda and Peroxide Whitening Brisk Mint	1	brand	Colgate Baking Soda And Peroxide Whitening Brisk Mint
Colgate Baking Soda and Peroxide Whitening Oxygen Bubbles Frosty Mint	1	brand	Colgate Baking Soda And Peroxide Whitening Oxygen Bubbles Frosty Mint
Colgate Bakugan Fluoride Mild Bubblefruit Flavor	1	brand	Colgate Bakugan Fluoride Mild Bubblefruit Flavor
Colgate Cavity Protection	2	brand	Colgate Cavity Protection
Colgate Cavity Protection Great Regular Flavor	1	brand	Colgate Cavity Protection Great Regular Flavor
Colgate Dora the Explorer Mild Bubblefruit Flavor	1	brand	Colgate Dora The Explorer Mild Bubblefruit Flavor
Colgate Dry Mouth Relief	1	brand	Colgate Dry Mouth Relief
Colgate Enamel Health Sensitivity MultiProtect	1	brand	Colgate Enamel Health Sensitivity Multiprotect
Colgate Enamel Health Sensitivity Relief	1	brand	Colgate Enamel Health Sensitivity Relief
COLGATE FLUORIDE WHITENING - REVIVING MINT	1	brand	Colgate Fluoride Whitening - Reviving Mint
